"","sample","freq.perc","isotype","timepoint","cohort"
"83","B12",11.9429070783571,"IGHA2","2.POST","1.Measles"
"84","B12",4.86454995630644,"IGHD","2.POST","1.Measles"
"85","B12",0.69909699970871,"IGHD/IGHM","2.POST","1.Measles"
"86","B12",6.67055053888727,"IGHG1","2.POST","1.Measles"
"87","B12",4.42761433148849,"IGHG2","2.POST","1.Measles"
"88","B13",2.25819547345986,"IGHA1","1.PRE","1.Measles"
"89","B13",0.345072566730945,"IGHA2","1.PRE","1.Measles"
"90","B13",19.5422713894245,"IGHD","1.PRE","1.Measles"
"91","B13",3.384755911905,"IGHD/IGHM","1.PRE","1.Measles"
"92","B13",0.497310463818126,"IGHG1","1.PRE","1.Measles"
"93","B13",0.182685476504618,"IGHG2","1.PRE","1.Measles"
"94","B13",0.0761189485435908,"IGHG3","1.PRE","1.Measles"
"95","B13",73.7135897696133,"IGHM","1.PRE","1.Measles"
"96","B13",14.709201184823,"IGHA1","2.POST","1.Measles"
"97","B13",5.08251445766138,"IGHA2","2.POST","1.Measles"
"98","B13",14.3119093516385,"IGHD","2.POST","1.Measles"
"99","B13",2.80925290328647,"IGHD/IGHM","2.POST","1.Measles"
"100","B13",4.72988857021957,"IGHG1","2.POST","1.Measles"
"101","B13",1.47632704875641,"IGHG2","2.POST","1.Measles"
"102","B13",1.1848229818045,"IGHG3","2.POST","1.Measles"
"103","B13",0.0258592317457332,"IGHG4","2.POST","1.Measles"
"104","B13",55.6702242700644,"IGHM","2.POST","1.Measles"
"105","B16",35.6693620844564,"IGHA1","1.PRE","1.Measles"
"106","B16",10.4222821203953,"IGHA2","1.PRE","1.Measles"
"107","B16",5.12129380053908,"IGHD","1.PRE","1.Measles"
"108","B16",0.381850853548967,"IGHD/IGHM","1.PRE","1.Measles"
"109","B16",13.0053908355795,"IGHG1","1.PRE","1.Measles"
"110","B16",3.50404312668464,"IGHG2","1.PRE","1.Measles"
"111","B16",1.95417789757412,"IGHG3","1.PRE","1.Measles"
"112","B16",29.9415992812219,"IGHM","1.PRE","1.Measles"
"113","B16",37.4446976806542,"IGHA1","2.POST","1.Measles"
"114","B16",22.5499396701971,"IGHA2","2.POST","1.Measles"
"115","B16",3.72704115833222,"IGHD","2.POST","1.Measles"
"116","B16",0.227912588818876,"IGHD/IGHM","2.POST","1.Measles"
"117","B16",0.147472851588685,"IGHE","2.POST","1.Measles"
"118","B16",10.8727711489476,"IGHG1","2.POST","1.Measles"
